,Comments
289,"Travel Pk
5 days ago
War can never be justified or supported. It can only be condemned. 
But there is another aspect as well. 
What does NATO expect from a country as strong as Russia when it is trying to surround it and put its weaponry at Russian borders all around. 
Read more
REPLY"
290,"Sohaib Shehzad
6 days ago
What is there to discuss, Ukraine should've implemented the Minsk Agreement. They didn't for years. 

RUSSIA under any leader & any form of government will """"""""""NEVER"""""""""" tolerate Ukraine to be part of an alliance which includes France & Germany who invaded their living space 3 times & caused immeasurable losses in human lives & material. 
Read more
REPLY"
291,"Jeferson Silva da Cruz
7 days ago
This is a hard moment.
REPLY"
292,"Kenechukwu Nelson Nwankwo
7 days ago
Why Ukraine Gave Up their Nukes in the 90's is behond me. I gurantee you if Ukraine still had the nukes. no one will dare to invade them. even Russia
23
REPLY"
293,"MegaLuckydog1
3 days ago
EU must grant immediate membership to Ukraine.
REPLY"
294,"Ted Sheeran
6 days ago
“No one can believe that the Germans did nothing” we sent them helmets for god sakes!
REPLY"
295,"Narayanan Venkatakrishnan
6 days ago (edited)
Joseph Borrell EU foreign policy chief said
,"" After WWII this the great human rights violation...""
Did he mean no guns fired no one killed for the past 70+ years...
My brothers and sisters of Korea, Vietnam, Afghanistan, Iraq, Syria, and Africa pl pardon this man.
REPLY"
296,"Moiz Khan
5 days ago
It's a real "" DRAMA "" . ️
REPLY"
297,"Andrea Renee
5 days ago
Great Doc. 
1
REPLY"
298,"А G
7 days ago
🇺🇦🇺🇦🇺🇦
9
REPLY"
299,"Empanadas Fritas
6 days ago
Only one question: Why is Germany waiting for NORD STREAM 2 and at the same time being USA's OIL hostage?
REPLY"
300,"Josua Hutapea
6 days ago
7:44 this aged like fine milk 
4
REPLY"
301,"Miss Eddie Blue - Kawaii Krafts
5 days ago
The people of the world stand with our persecuted brothers & sisters 
 Come to Canada 🇨🇦 we love everyone 🇨🇦🇺🇦️️
REPLY"
302,"Mike Oxlong
7 days ago
France, Germany, Italy, Poland, the United States and England should seriously consider building up their militaries stronger than they ever were before. All the while continuing to pursue diplomacy. But it is clear Europe should be ready for anything.
1
REPLY"
303,"Sharon back for school
6 days ago
this is my opinion on it, if the Us and other NATO allies don't make sure that Russia severely pays at least on the economic front or under military front.

 

then this is going to send an extremely horrible precedent for other countries like China in whose only reason for not invading Taiwan is because of the threat of the US and NATO allies.
Read more
1
REPLY"
304,"Priscilla Asagiri
2 days ago
Both countries aren't saints. Ukrania has 2 neonazi parties ( Svodoba and Pravyi Sektor ) and an army division (Azov Battalion -which is convicted of many war crimes) and Russia has a dictatorship. The problem is the people who is always cought in the mid of two armies.
REPLY"
305,"z y
3 days ago
I wonder if human rights in Eastern Ukraine would be respected after the war. UN need to step into this issue.
REPLY"
306,"teo pat
7 days ago
Angela Merkel shut down Germany's Nuclear Power Plants and opted to import Russian Oil, this is very short sighted and makes the country heavily dependent on a Totalitarian Regime, this greatly weakens the EU and Western resolve in dealing with Russia.

If Ukraine's Nuclear Weapons, inherited from the Soviet Union, are not deactivated  by the US with the assurance of security for the country, Russia would not have dared to invade the country.
Read more
8
REPLY"
307,"Triz
7 days ago (edited)
Stay neutral like Switzerland. Stay away from both Nato (aka US) and Russia, only this way Ukraine may prosper in future.
11
REPLY"
308,"The Bhutanese way
3 days ago
That aggressive part is the one Putin is avoiding
REPLY"
309,"Arlene Nolte
5 days ago
I wish they would have been allowed into NATO. This is so sad.
1
REPLY"
310,"Let’s Go Rand8m
6 days ago
Praying for all world leaders to turn to God and restore the Peace!
REPLY"
311,"troy ingram
6 days ago
Putin is geoeconomic? He isn't really that good at international investment or western finance in war times. I don't think many people really are. Roosevelt was.
REPLY"
312,"Bill
6 days ago
DW editors must obey Berlin otherwise heads will roll
Berlin supports Russia
3
REPLY"
313,"jean caracas
6 days ago
God bless everyone, sending hugs to everyone ..
REPLY"
314,"BlackBoxSDA
6 hours ago
I don't get it. 14000 people has been killed since 2014, and practically forgotten by the world. And now suddenly the world cares so much about the plight of the Ukrainian people. What changes?
REPLY"
315,"Moon Lim
1 day ago
PLEASE CHANGE YOUR TITLE, THIS IS NOT A DRAMA! ITS REAL. ITS NEVER DRAMA TO HAVE WAR!
REPLY"
316,"Reza
6 days ago
What did Europe do  for Iran over the four years after Trump ripped the deal, how many times Iran begged Europe to abide by the deal? Now that they need Iran's oil, they feel the need to go back to the deal.
REPLY"
317,"C. Maurice
6 days ago
Damn shame you ask for help from the International community and no one comes to your aid. Sounds like 1938 all over when the Checz and Poland asked for help. History shall repeat itself.
REPLY"
318,"Fahd S
7 days ago
48:21 'No words, no pressure' --- As quoted by the great Orange Baboon himself
5
REPLY"
319,"Criticline
7 days ago
Well, this President is already better than the Afghan President. Respect to him!
REPLY"
320,"Russian Federation
7 days ago
Хотят ли русские войны?
Спросите вы у тишины
над ширью пашен и полей
и у берез и тополей.
Read more
5
REPLY"
321,"WilliamMunny
5 days ago
It’s nice to see that America isn’t the only place where voters vote against their own interests, in favor of slick-talking demagogue politicians.
2
REPLY"
322,"Numbing Tears
3 hours ago (edited)
This joker is leading the country citizens to suffering. But they chose him. Unknowingly to all, he is actually/will be also trying to lead the whole world to WWIII. Comedian at its best.
REPLY"
323,"Steven Mehl
3 days ago
Why does Ukraine have to be part of NATO, sign a pledge Zelensky to not join NATO and end this conflict please!!!
REPLY"
324,"Galih Kurniawan
5 days ago (edited)
Zelensky is a comedian, but putin is a chad meme
REPLY"
325,"Vegan Essence
2 days ago
I love the blue and gold flag of Ukraine
REPLY"
326,"David Collins
7 days ago (edited)
I have watched for two minutes so far; I wonder, will they discuss America's meddling in Ukraine? Victoria Nuland's leaked discussion about who should serve in the Ukraine government? She said she thought the boxer-turned-politician Klitschko shouldn't be in government.
Read more
10
REPLY"
327,"bc
7 days ago
Do DW and AJ go out of their way to find civilians with USA references on their clothing (eg 6:52)? So common it seems staged
REPLY"
328,"Leonard Stefanyshyn
4 days ago
You can see how protests are dealt with in Ukraine compared to Russia. Canada is more like Russia now under liberal NDP govt.
REPLY"
329,"genesis1
7 days ago
Why isn’t this treated like when Iraq invaded Kuwait back in 1990 ! So tempting to say go fight someone your own size
1
REPLY"
330,"Laura Kordzeva
4 days ago
We feel your pain! LATVIJA feels it! We closed air with Russia. We take your people in. Our shops are cutting off Russian products.We stand with you! We love you!🇱🇻🇺🇦
REPLY"
331,"Kurbick San
5 days ago
Why are they only talking about Putin? How about the Americans and NATO?
Neither of them respected the Minsk treaties. Ukraine got manipulated by the West and it's to late to negotiate.
2
REPLY"
332,"Nicolas Khoury
7 days ago
Unfortunately it’s the US fault.
16
REPLY"
333,"Joan de Bruin
6 days ago (edited)
Liitle did Zelensky  knew that this Presidency is most likely going to cost him his life in a few short years.
1
REPLY"
334,"Kamran Rasul
5 days ago
Time to release a new type of Covid this will scare anyone from wanting to fight and get out of their home.
REPLY"
335,"Xhilla K
3 days ago
Sorry to hear what’s happening in Ukraine but you’re not the only country are in a war
REPLY"
336,"Д Дроздов
5 days ago
От Elena Lit
Read more
REPLY"
337,"Legal Services
6 days ago
WEAK WILL PERISH AND THE STRONG WILL INHERIT NO MATTER HOW EVIL 
1
REPLY"
338,"lisa eve
7 days ago
Zelenskyy did NOT deserve for his reputation to ruined by Trump's feverishly selfish attempt to hold his undemocratic grasp on the Oval Office
4
REPLY"
339,"Fcck Off
4 days ago
History repeat itself YAY
REPLY"
340,"Santiago Katzenstein
7 days ago (edited)
Guys, white subtitles are a nightmare to read...
When you put an actor as a president.
What results you expect?
6
REPLY"
341,"Kajlar
5 days ago
Don't worry we are all guarded by a merciful angel NATO
REPLY"
342,"Lucinda Humphries
5 days ago
If Germany isn't sure where their loyalties lie, maybe we should hand them a bill for all the money we spent while rebuilding their country after WWII.
REPLY"
343,"Rohit Kumar
2 hours ago (edited)
6:25 Kharkiv now in a in dust. The city got destroyed, How sad it is!! Pray from India
REPLY"
344,"David Glemboski
6 days ago
At the pace things seem to be going, the Ukrainian president should exit the country. Putin would personally oversee his execution.  I'm not saying this as an antagonist,  but more as a realist.
REPLY"
345,"Freude Fival
5 days ago
We people do not need war 
1
REPLY"
346,"In N Out
7 days ago
Looking forward to China vs Taiwan
4
REPLY"
347,"troy ingram
6 days ago
The force of U.S. Finance overpowers all. When communist countries have little. Why would Putin engage in conflict when this is the case? Here the trick is to squeeze Putin financially into submission, but the entire world must work together.
REPLY"
348,"AQUINAS TIME
6 days ago
May Pope Francis consecrate Russia to the Immaculate Heart of Mary as She requested in Fatima.  Peace will prevail through the intercession of the Blessed Virgin Mary.  May God bless Zelenskyy and the Ukrainian people.
REPLY"
349,"By Me
4 days ago
""Woe unto them that call evil good, and good evil; that put darkness for light, and light for darkness; that put bitter for sweet, and sweet for bitter!"" (Isa. 5:20.)
REPLY"
350,"Scuba J
6 days ago
This is very interesting it looks like salinsky is the Ukraine's Donald Trump. Maybe they don't hate him quite as bad but he seems like the antihero in a way. Someone who is not a politician but who is still famous in a way and the people want something different and it actually turns out very good
REPLY"
351,"Violet Talaber
3 days ago
Mr. Zelensky used to be a terrible actor, no talent at all, a drug edict, everybody knows that, now created a terrible war, 
  many Ukrainians' life, just for his own  satisfactions.
REPLY"
352,"Анжелика Новокщёнова
6 days ago
Zelensky lived in Russia, played in Russians films. Duplicitous person. In this film wasn't show the situation in Donetsk and Lugansk. DW show us film with war victims in Donetsk and Lugansk.
4
REPLY"
353,"horseinblack 1984
6 days ago
Ukrainian volunteers needs guns. We have not enough guns.
Volunteers from other countries are welcome to help to fight 
1
REPLY"
354,"Edward Pike
5 days ago
Jon Stewart for president of USA, we might finally get first good president since Carter.
REPLY"
355,"더블치즈버거
4 days ago
""There is no purgatory for war criminals. They go straight to hell"". By Ukraine representative (UN)
REPLY"
356,"Raul Tiangson
5 days ago
Putin is flexing his military muscles while Biden is playing his weak hands LETS GO BRANDON.
REPLY"
357,"Lily Dev
4 days ago
2:30  NATO and its master, US, also view everything with geopolitical implications
1
REPLY"
358,"Shaggy Ross
7 days ago
Why is it that the entire planet chose not to consider the last 8 yrs during which innocent civilian lives in the thousands in the Donbass region has been and continues to be taken at the hands of Ukrainian forces(which when asked the Ukrainian authorities say ""they are not affiliated to Ukrainian forces"")
If American citizens occupied/lived in the northern Mexico area and Mexican forces were killing them ....then the conversation would have been very different.
Read more
5
REPLY"
359,"The Sixth
7 days ago
DW at its best. Dw is so good whenever they are not giving biased commentary on US domestic issues. It's obvious they are in the same camp as CNN, ABC, NBC, basically left-leaning.  It's really the journalist covering the states own political bias that ruin DWs standing.  Such a shame because otherwise, they are leading the way for real, objective journalism. This is something very rare in today's world.
1
REPLY"
360,"COVID-19delusion
7 days ago
To everyone in the comments section give thanks for life 
Read more
6
REPLY"
361,"Goldenrxses
5 days ago
Why didn't you show Biden saying he would withhold 1 billion in aid unless prosecutor was fired that was looking into his son getting hugh sums to be a board member of an Ukraine energy company
REPLY"
362,"Director Riq
4 days ago
IS SEEMS LIKE UKRAINE DOES NOT HAVE ANY NEINGBOUR COUNTRY TO HELP THEM,GOD IS ON YOU SIDE NEVER GIVE UP. Isaiah 41:10

So do not fear, for I am with you; do not be dismayed, for I am your God. I will strengthen you and help you; I will uphold you with my righteous right hand.
REPLY"
363,"Amos Simon
5 days ago
If NATO had took control.over there expanding into Ukraine.Instead of letting U.S.take over control.we could have avoided the situation.The war will be fought in Europe.We should try to negotiate with Russia and Ukraine.This is very serious.
REPLY"
364,"lee chinn chow
6 days ago
Ecclesiastes 3:8 
A time to love, and a time to hate; a time for war, and a time for peace.
Matthew 24:6
And you will hear of wars and rumors of wars. See that you are not alarmed,   for this must take place, but the end is not yet.
Read more
REPLY"
365,"Alejandro de la Luz
3 days ago
WE GOT TO LEAVE WARS IN THE PAST there are always ways to Talk and negociate the problems
REPLY"
366,"Kevin Walker
7 days ago
Go Russia!!!!
5
REPLY"
367,"Александр Сундеев
6 days ago
I woke up on February 24th at 5 am in Kyiv due to bombing of Boryspil, Kyiv’s main airport which is around 40 km from my home. Thunder is the only thing I can compare that sound with, because I’ve never been in a conflict zone and I don’t know how war sounds. Ukrainians are deeply confused about this open military invasion, happening on the European continent in the 21st century. Please support us! Even a post of your support on social media matters to us!
Read more
2
REPLY"
368,"Adnan
6 days ago
Hind sight is 20/20, but I would say the Ukrainian president should have said he would be neutral country and not join nato, as soon as he sensed that Germany and France were being buddies with Russia
1
REPLY"
369,"Elsonic Group
5 days ago
The Western politicians and super rich who pull their strings, in their respective countries, want economic dominance at the cost of others and still have imperialistic DNA. Like India was robbed in the past and never compensated but further exploited under the garb of aid, such practices continue with other militarily  weak   countries. Much is made of independence of countries in Europe but there is no care in the world for the rights over the sacred lands of those in Africa, the Middle-East and many other such powerless people.  Wasn't India broken up to weaken its stable structure, while causing untold misery to innocent civilians. Where is retribution for these crimes on the humanity of the weak?  Manipulation of currency values claiming market forces are operating, is an easy way for them to impose financial dominance. All this will stop if there is a multi-polar world where fairness and justice is delivered by the world bodies that falsely claim to be doing this.
Read more
1
REPLY"
370,"Kai D.
3 days ago
Ukraine we pray for you in America, help is on the way America will help you guys stay safe until than.
REPLY"
371,"Yonas Yosief
7 days ago
I think Putin is demanding respect and I may ask what have Europe and USA done to Putin and Russia? I think Europe should work closer to Russia with out the interference of out siders like that of USA, after all Europe is closer to Russia than USA ... I mean this if you want a lasting peace....Russia won't go easily.
1
REPLY"
372,"Russian Federation
7 days ago
Yugoslavia, Afghanistan, Libya, Syria, Iraq what other countries are the good examples where the usa European democracy turned life to better...?
13
REPLY"
373,"T Pidgeon
5 days ago
As American i love that DW presents an unbiased account of Russian aggression
1
REPLY"
374,"Susan Morgan
4 days ago
I am so impressed by the Ukrainian People and the Heroic President. Looking So Much Like I Used To Think, We Looked. They Have A Lot To Teach Us. Maybe If We Asked Nice. Or Stop Putin.
REPLY"
375,"CHÂU NGUYỄN HOÀNG MINH
5 days ago
Great video but I need more about US attacks in Middle East country like Syria,  Lybia,...Can we call that invasion?
Apology for my grammar, hope u understand
REPLY"
376,"Some Guy
21 hours ago
The world screams when America doesn't help,  and screams when they do.   
Europe has done nothing to prevent this.
REPLY"
377,"Donovan
4 days ago
Ukraine 🇺🇦
REPLY"
378,"john johnson
7 days ago
Natos fault imo. Should have kept our word about not expanding after the fall of the ussr
18
REPLY"
379,"Jan Hermaouanne
7 days ago
Ukrainians and Russian are brother 🇺🇦 🇷🇺 Peace, say no to war 
REPLY"
0,"Tarik Seferović
3 days ago
Sad reality is that Zelensky is playing tough guy but his people are dying and everybody who knows russia military power can see that Putin is being light on Ukraine, but as the time goes by, Russia will became more brutal.
129
REPLY"
1,"Lyric Serrano
3 days ago
The president of Ukraine is trying to get the sympathy of the world, he should get an award for acting
631
REPLY"
2,"Dan Dan
3 days ago (edited)
RUSSIA is putting this world in order. Eliminate ""double-standard"" treatment not only for Russia, but all nations will benefit from it. Free normal people under West corrupt governments.
66
REPLY"
3,"XYZ ABC
3 days ago
This is the most haunting and heartbreaking reality check. . Condolences to the families
124
REPLY"
4,"unitedstatesofmordor
3 days ago
After this is over, may they return safely to their family and loved ones.
91
REPLY"
5,"Amavlog Vila
3 days ago
I know Americans are strong in many things, but their weakest point is trusting their govt and media way too much than they should. Even us here in Namibia 🇳🇦(Africa) can see your media and leaders' lies but you can't. It is saddening. Most Americans aided the killing and destabilization of so many nations because you believe all the lies they tell you. You seem awoke, but it is not the case.
160
REPLY"
6,"Busi Xho
3 days ago
Russia could take kiev and ukraine in a heartbeat if they wanted. I commend the russian troops for minimizing damage and casualties.
128
REPLY"
7,"Amir Fahmi
3 days ago
Zelensky is using his own soldiers for marketing materials while these soldiers are risking their lives for their country.
131
REPLY"
8,"Jeff Epstein
3 days ago
As an american, it's sad to admit, news accuracy is not my countries strong suit.
1K
REPLY"
9,"Andre Gaming
3 days ago
Viva Rusia 🇷🇺
From Indonesia 🇮🇩
95
REPLY"
10,"Precious Hani
3 days ago (edited)
Zelensky should have an oscar

I feel sorry for these brave men. Salute to these men, they made the right decision and saved their lives and others. Unlike Zelensky who did not only arm the civilians but also arm the prisoners (rapists, murderer, etc.) He is a fool, maybe brave yes but no wisdom.
Read more
190
REPLY"
11,"Roman Ermakov
3 days ago (edited)
Ужас людей уже похоронили и медали посмертно выдали, а они живы!
118
REPLY"
12,"MNH
3 days ago
This soldiers can now help to let the Ukrainian civilian and military know who actually care for them. And probably hasten the end of this conflict with lesser casualties.
189
REPLY"
13,"Satu Rupiah
3 days ago
God bless both Russia and Ukraine
82
REPLY"
14,"Dr Budnacab Diiriyeyn
3 days ago
All respect to a man with dignity , honor and moral hail Putin
174
REPLY"
15,"Daniel Obua
3 days ago
The dead soldiers came back to life? Jesus would be impressed
137
REPLY"
16,"BUCK FIDEN
3 days ago
Of course they surrendered like 90% of the Ukrainian military.. and another thing they're not showing you is the Russians being welcomed by the civilians. That's why they're being very careful on not targeting civilians for the most part. It is in Russia's best interest to do so and they know it.
90
REPLY"
17,"Axe Pro
3 days ago
The clown thought he deserve a noble, but actually he deserve an Oscar
193
REPLY"
18,"May
3 days ago
Zelensky is full of lies in front of the camera for the world to think he is a hero (an actor, what do you expect). How could you ask civilians to take up arms and fight in a war zone? And then he cried war crimes when casualties amongst them. This play acting has to stop. Negotiate and end the war asap is the only option.
459
REPLY"
19,"J Dorner
3 days ago
Got into a verbal fight over here in the US with a close family member over this war.  I feel so powerless in trying to get through the propaganda over here in the US, even with my own family.  I can't imagine what it is like for these two sister nations that are at war.  I'm not sleeping well these past four days, and the shells aren't even going off over here.  I pray for a quick end to this war.
1K
REPLY"
20,"JunJun ko
3 days ago
I support Russia.❤️❤️❤️🇵🇭
54
REPLY"
21,"Marco Möngke
3 days ago (edited)
It feels increasingly dangerous to talk about Russian concerns or even stay silent or neutral about the Ukrainian crisis.
258
REPLY"
22,"Nic W
3 days ago
They wanted these brave soldiers to be the sacrificial lambs so that they can have ""proof"" of Russian atrocities. These men were betrayed by their so called leaders, as someone who served, I feel so sad for them.
177
REPLY"
23,"GhostBlade
3 days ago
Wait so the Russian ship didn't bombard the island when the Ukrainians said ""fuck you""? Way to go CNN.
911
REPLY"
24,"Chris Hardin
3 days ago
This guy was installed by the United States in a 2014 coup. Under his leadership, the people of eastern Ukraine have been continually bombed and shelled. The Azov battalion, a group of literal neo-nazis, are a significant part of this guy's military who has been bombing the people of eastern Ukraine for many years. The Ukraine has threatened to join NATO in a resolution vote, and Russia, concerned for its security, cannot allow Ukraine to join NATO. The purpose of NATO was to defend the United States against the Russian hordes during the Communist era, but there are no Russian hordes anymore and the Communist era and Soviet Union is over. Therefore, NATO has no reason to continually expand Eastward like it has done. If one is aware of the history leading up to this event, Russia's actions should come as no surprise.
Read more
98
REPLY"
25,"Shar Sue
3 days ago
I teared up when I heard those Ukrainian soldiers explain what happened. If Kiev could have evacuated those soldiers and deliberately didn't, that translates that they were expected to be sacrificed.
309
REPLY"
26,"Михаил Ступин
3 days ago (edited)
Even Kiev army resources were forced to admit that these soldiers are alive after the navy teleported* them to Sevastopol.

Epic fail.
*Yes,I used the word ""teleported"" intentionally (as a joke,since the usual subjects around the net claimed they didn't believe in Moscow ""magically"" letting the guards live).Sue me.
Read more
167
REPLY"
27,"Snow Moon
3 days ago
Treat them with kindness n respect bcz they are your brothers...even if they dislike you..just keep respecting.N make them live freely in ukraine.Its their country.
47
REPLY"
28,"M Singh
3 days ago
Peace for both sides.  Ukraine, please don't get illusioned by steroid dose you are getting from EU countries and US. You may feel immediate boosted power within you after getting steroidal doses but ultimately it is gonna have fatal effects on you. Peace....its the only best thing for humanity.
54
REPLY"
29,"GettysburgBatle
3 days ago
No soldiers die there’s no proof of the warship attacking lmao
79
REPLY"
30,"Eastern Razor
3 days ago
Truth hurts ... When leaders let them down.
Glad that they are safe....and for them the war is over and they will have a chance to reunite with their families.
Thanks to Russia for sparing their valuable lives.
190
REPLY"
31,"Lollipop
3 days ago
Zelensky should get an award for his acting skills
113
REPLY"
32,"Ahmed Hamd
3 days ago
This is how Honorable army do, well done Russia,  well done Putin, all support to you.
Greeting from Africa
160
REPLY"
33,"Paris Kalachnikov
3 days ago
Never more true of the maxim that the first victim of any conflict/war is the truth.
8
REPLY"
34,"Mr B0nk
3 days ago
Zelensky needs to swallow his pride and negotiate peace with Russia for the sake of his nation..People don’t negotiate peace with allies but with enemies..What he is seeking from NATO is the same with what Russia can provide to them..Why destabilise the security within the region and sacrifice many lives unless there are incentives involved..
16
REPLY"
35,"Cimurai Sampi
3 days ago
it is unfortunate for ukrainian for having a clown as a president as much as some other clown presidents or prime ministers.
56
REPLY"
36,"J Russel Finch
3 days ago
Putin is not stupid ,you must listen to his speeches & read history and don’t just believe because the media tells you what to think .
82
REPLY"
37,"Sadajit Bamrah
3 days ago
When people give the responsibility of running the affairs of a state to a puppet or comedian, then God show no mercy.
It is just as if a man does not work hard to buy warm clothing's and nourishment for oncoming winter, then God show no mercy.
Read more
99
REPLY"
38,"Afsar Alvi
3 days ago
Russia🇷🇺 & Ukraine🇺🇦 Two Brothers 👬 lived in together with peace 😇 But one day America comes in Ukraine and divided two Brothers😫
11
REPLY"
39,"GPU Master
3 days ago
Go ahead Russia, victory is yours. We know how bad it is to have NATO as your neighbor. Love and support to Russia from Pakistan
107
REPLY"
40,"प्रशांत पंडित जी
3 days ago
i don't know what is being said in this video because i don't know english language
I am from India country. and i'm with russia
Russia is in our heart
10
REPLY"
41,"Ayesha Waheed
3 days ago
The president of Ukraine is an actor after all. He's been great at it since the war broke out
44
REPLY"
42,"The Crew 2 Algeria47
3 days ago
Русские имеют право вернуть свои земли, которые они потеряли после распада СССР, чтобы защитить себя, о русский народ, что они делают на благо русских и слабых народов
47
REPLY"
43,"Jonney Goat
3 days ago
That ""fuck you"" scene came straight outta a Hollywood script. But of course, reality is very different from American lies.
5
REPLY"
44,"Apollo Cobain
3 days ago
""Truth is the first casualty of war"" -Churchill
5
REPLY"
45,"wyunaboy
3 days ago
just like the tank that crush a car, at first, they say it was a Russian tank but then it turn out to be Ukraine APC trying to run away and lost control.
20
REPLY"
46,"Max D
3 days ago
less then a week. and this comes out. stay tuned ... it will be legendary
10
REPLY"
47,"chandra dekeyser
2 days ago
I can imagine these prisoners were ""briefed"" to say that, just like the Russian ones on some Ukrainian channel. This is a war of information. I am thankful to Google to let all points of views (insofar no hate speech & horrors) expressed. People have a right to hear different sides to make up their own mind. Unlike EU boycotting RT.
1
REPLY"
48,"Julius Angawa
2 days ago
What the hell! The Ukraine government buried these soldiers and posthumously gave them medals? That really hurt so deep, I as a Filipino, far away from Ukraine felt it deep and I'm in tears and angry! So, zelensky doesn't really care for the lives of these soldiers?! I'm really angry!
3
REPLY"
49,"The TeKuZa
3 days ago
Betrayed, forgotten, abandoned.
282
REPLY"
50,"Hàji Sàmèèr
3 days ago
Full support from Afghanistan
Stand with great Russia
146
REPLY"
51,"Dean Lion
3 days ago
I have a message for the Zelenskyy I am from Bosnia, I was a teenager when there was a war, Bosnians fought bravely for several years against Serbian aggression, in the end NATO - America helped end the war!Too Late for hundreds of thousands of killed civilians and soldiers, two million refugees, half of Bosnia destroyed! Your situation is similar in some segments, but much much more dangerous because Ukraine is much bigger and with other side you have Superpower against you! Mr. Zelenskyy END the war that you cannot win militarily! End the agony of the Ukrainian people, Ukrainian children, Ukrainian soldiers! Several million more citizens, children, soldiers will die, but you cannot defeat the Russian military force! Russia can also lose hundreds of thousands of soldiers, but as you know, there is discipline in the Russian army, they know that if they deserted they will be shot!  Zelensky, sign everything Putin asks for! This is not the capitulation of the Ukrainian people (the Japanese signed the military capitulation, but the whole world knows that the Japanese people are brave) they signed to save the rest of the people! The number of victims is still as symbolic but could be much,much more higher!! STOP THE WAR!!
Read more
20
REPLY"
52,"Iftikhar Kango
3 days ago
Having 82 dead people, will also gain lot of, fruitless sympathy of the Western world. Besides, it will help creating the hero of Zelensky for the kabbalists.
67
REPLY"
53,"BEiNG HONEST
3 days ago
As Indian I support Rusian stance. Everyone have right to make safe & secure their back yard.
32
REPLY"
54,"Zulqadarr Rashid
3 days ago (edited)
😂😂😂😂😂😂👏👏👏👏
The first casualty in any war is the truth.
An Afghan veteran who fought two wars.
12
REPLY"
55,"Joey Boedeker
2 days ago
""I thought they were dead!!""
""They must have healed up!""
REPLY"
56,"shashi rana
3 days ago
A soldier is a soldier and must be treated well.
5
REPLY"
57,"Solomon Noah
3 days ago
GOD Bless you,, Russians
11
REPLY"
58,"CAЛAVEЯА XIII
3 days ago
This is not going to be published in DW OR CNN or BBC …. THATS FOR SURE
54
REPLY"
59,"Omusaatsa Watuukha
3 days ago
It's good to see the Citizens alive
4
REPLY"
60,"corale blue
3 days ago
We love Russia. Go Putin! From Morocco
26
REPLY"
61,"45Revolver
1 day ago
Can you imagine hearing your leader talk about you like you're dead...meaning he didn't even know you were alive. Some hero leader.
REPLY"
62,"Namarik Marak
3 days ago
If Putin can take Grozny, then he can take kiev too.unfortunately many civilians will caught is crossfire,but it's because of American military and not Russia.American expansion near Russian capital had force putin to take such extreme steps.
225
REPLY"
63,"GermanLetsHackZ
3 days ago
At this times it's really hard to tell who says the truth and who not (the western and Russian media tells the polar opposite, nobody has real proofs, many just say this or that happened but where are the proofs. I as German hope that this won't escalate even further we should go back to the table and speak about it Russia, Ukraine and the west should talk with each other and take each other's concerns seriously.
3
REPLY"
64,"K.Wong-凱王
3 days ago
More truth, we need more truth to come out!
8
REPLY"
65,"linda Wills
3 days ago
This treachery on the part of the Ukrainian Military was to bury the soldiers from Snake Island, then exhume the dead soldiers in public so the Ukrainians could draw a Historic comparison between massacre of the Polish army officers and soldiers in the Katyn Forest after the Soviets invaded Poland in World War 2 1940. This action was admitted by Gorbachov only in 1990, and was exposed as a War Crime in the movie ""Enigma"" . The movie spells out the reason why
Read more
2
REPLY"
66,"Mlecch Vinashak
3 days ago
Indian hindus always stand with russia 💖🇷🇺
Hare krishna
87
REPLY"
67,"jeetu verma
3 days ago
We support Russia .. love from India ❤️
7
REPLY"
68,"Agent Y444
3 days ago
So many people hates putin without even analyzing his intention.
10
REPLY"
69,"Pravin Parmar
3 days ago
Stay strong russia 🇷🇺 💪
68
REPLY"
70,"caterpod
3 days ago
One thing that I don’t like about this: having the prisoners speak only enables the possibility of claims that they were coerced…. I maintain that there is no reason to stoop to level of western media … keep it professional and less propagandizing please!
1
REPLY"
71,"Rusland Slava
3 days ago
I'm glad they're alive and well. I'm glad they will see their families again. Zielinski is a war criminal.
37
REPLY"
72,"Fiel Valery
3 days ago
In light of Ukraine:

Russian Army Mindset: ""These are our brothers. Don't attack if they didn't. The less casualties the better.""
Read more
43
REPLY"
73,"Daniel Peter
3 days ago (edited)
As an American I support Mother Russia 🇷🇺☦❤ Stay Strong Mother Russia.
God Bless Russia and God Bless President Putin.
Sluzhit Rossii
46
REPLY"
74,"Axmed Jibriil
3 days ago
Russia has the right to improve its security because it has so many enemies.
24
REPLY"
75,"Liong Susanto
3 days ago
Exactly. Do not be a sacrificed lamb for united states of hypocrisy and your politicians.
61
REPLY"
76,"👑The Duchess👑
2 days ago
I feel for the soldiers, however they also need to have realistic expectations.They elected a comedian with no political or military experience, he must be overwhelmed, he could be doing his best but not everything will have a perfect outcome.
1
REPLY"
77,"Zargon Future
3 days ago
As they say, the red pill is hard to swallow when you thought you were the good guys and there was lots of backing.. Western axis is happy to sacrifice a lot more Ukran lives, any Ukran lives east or west Ukran speaking or Russian to get a regime change in the Russian Federation.. One day the people of all the countries that were ""regime changed"" will pay these countries back and the Cafe society socialism that did this will feel what its like to be a second class citizen in their own country, some are already getting there, getting poorer and poorer, what will they say or do to their government elites then?
Read more
3
REPLY"
78,"Ras Putin
3 days ago
Western MSM said they're dead and died bravely? Hahahaha
16
REPLY"
79,"one plus
3 days ago
A strong russia is in india's interest.
Russia has always supported us. It is our all weather friend.
58
REPLY"
